,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Tree9,Tree10,Tree11,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Tree18,Tree19,Tree20,Tree21,Tree22,Tree23,Tree24,Tree25,Tree26,Tree27,Tree28,Tree29,Tree30,Tree31,Tree32,Tree33,Tree34,Tree35,Tree36,Tree37,Tree38,Tree39,Tree40
Tree1,0.0,111.12156635662284,123.83127795300004,111.9192032099268,106.01951838930052,119.45719013803786,111.96995701443043,120.1242122125726,116.18866459459238,116.4307120698191,120.2000865327744,101.1189200875638,111.29941912827684,130.725142541231,116.26445930625918,124.6080130844298,133.61352910932817,133.09809077894312,118.22511082405708,123.60799730275173,123.19188360738526,113.3089119510999,129.26987838847273,120.88663647755142,119.4779347236311,117.0905914080422,114.09114528995616,121.41851855956575,114.1228488391853,117.43416244579866,119.5220925656898,117.26805684216173,122.67080303583022,127.32199282947936,113.18509847398,121.99980233887533,115.3670314390091,122.26059661894868,118.98059068056348,111.68350551942426
Tree2,0.0,0.0,126.4466399418274,126.72852486629364,102.79220565075222,120.46904433898506,113.82361574032036,134.9687703978607,119.23669126210116,115.10871716236056,114.12315331709866,109.2089312969494,93.50505763366328,119.87632805103377,110.00072358408272,125.08582897117276,131.95854864957025,119.9788658223036,110.82065792539836,118.80149073237904,109.81322788559196,109.1366871542112,119.97266843170526,115.38929040932226,134.63712440127242,121.79664428339832,112.87559924758104,120.1681829958362,111.18898934736382,129.07645588901377,114.6635601350707,124.45841303142429,127.52184221399668,120.02969284060048,99.95329576304728,117.9934667957791,106.89488201909832,116.52787434220494,107.8955014966073,109.6819040106842
Tree3,0.0,0.0,0.0,116.8895331043516,114.86235725211412,117.78513337712066,112.16870529395256,118.79578257771652,112.597548712622,116.7392635100512,126.98785945471292,118.59934492022276,117.52612220909002,126.6225813855062,124.4760879337839,122.06015428505256,119.22783615587996,128.9668604916828,116.21043251268816,131.1772319013607,128.84584469200323,112.29003756721566,129.95301573816872,120.45894289961734,116.5177732873462,120.22456517062642,126.00878263254172,117.1538252847214,129.57319157421745,117.69409189032322,114.1838327479365,114.82136584046955,115.9340216443436,134.61132553976134,110.21512348185176,116.49575530181728,122.97718292113566,128.4468470046532,125.57033284405308,116.1611419449972
Tree4,0.0,0.0,0.0,0.0,116.06033203017908,121.64544225058908,107.11762506780624,112.97689658656554,116.81627435326858,107.9466660383076,117.46052372878728,111.71191113171804,112.45481841903288,122.334173274887,116.21796237453157,120.453399622645,116.02249144941445,119.48837339944156,125.57214210194532,126.8991603733744,129.35776709983836,116.5156115645966,132.65745819331596,104.61055843252493,107.70217722099493,124.2590937695946,119.13731574937978,125.31614845709257,114.06227519661958,113.70304923341128,105.08999931007232,114.6925481099409,113.85381716944092,119.04921217680476,105.45106442696186,122.06810802358892,109.00321268616028,102.8553263356688,116.80601877442705,113.51793701501364
Tree5,0.0,0.0,0.0,0.0,0.0,112.79574570265169,109.13060253663632,121.11947231355884,112.87117159377294,103.42412007447534,117.25101125984628,110.50173640702882,104.66006020061452,117.8576515549563,110.0657519344188,116.1572287344172,107.61750204777614,115.74301791744838,112.74408454333866,128.30066283424566,113.42003934141157,107.39449017365384,123.33493793695057,106.05348352468314,117.37331572783287,112.52073682493376,109.31410272708553,111.50705594915014,120.39796323199978,117.8439312169768,102.23195853740329,116.23212812022676,122.56865586646556,113.3726830575175,91.01701106842148,112.88722840185385,95.62115913938048,103.48384867520106,106.89958068806352,99.57505682760556
Tree6,0.0,0.0,0.0,0.0,0.0,0.0,116.78052842539698,111.555450786568,119.56332184120294,115.3574690380283,124.6586218090115,113.42142124933608,104.87043862057838,128.09063384788303,123.50127863962985,120.10162817594303,129.74026995098995,112.67085272107823,123.70422028129674,129.77720696707655,133.15579449368255,116.5943487467324,137.43546733739842,109.59379974611475,110.49074997779154,109.78364736896825,117.87522416485376,120.64497610243586,111.4441555626931,118.63491350836672,105.91100903599752,101.3016509118858,110.5823159742662,124.35417959762964,108.126990302474,122.31112754397844,113.576107775546,119.70354049068833,126.90354423631416,122.04768690440284
Tree7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.12318026017286,115.789706137354,112.7091773356276,112.60139762011666,107.70424941871684,103.45724431234788,118.4596239836528,109.01593321018709,121.81026949030264,115.02039967350494,115.59824881850056,105.9423251799878,121.4591774991728,114.19323902833546,110.99845376100934,124.95813171582289,100.31269814199008,115.59950061079508,103.52640301024827,106.67582169666956,112.87782886018934,106.94371464380164,119.88609033246904,99.87541012969686,104.645543928029,116.96632208851872,116.9990643373785,99.56811749564852,120.90547620957705,110.41241754598563,115.03587380045812,111.17010693056964,114.37600305987304
Tree8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.63731801247738,116.79108352038392,126.51747354227004,115.56623208942965,122.36718737248638,133.08273161245648,122.08615770862968,127.40686803796794,123.82102159149204,111.94433503913456,131.82865824885508,139.63408893594902,142.0846744436627,115.39085178024348,142.0309981567442,125.68852852303412,108.86430894745136,116.35825485651448,123.04527734560118,134.21446940653922,120.75179382701768,121.99807877248912,109.60353637406352,114.40533121098184,121.76362867639506,125.96634524011132,117.87664621730308,129.5835217023847,124.20939760630272,121.01573475331432,124.7904434592844,128.06165856093713
Tree9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.24970774525818,114.64586250473155,131.2702889565025,112.1113236271213,114.79876457791096,114.46285224743586,112.41825009180026,130.95340057890417,128.91061323541888,109.92182480803346,118.04743915118064,115.8867135193637,116.95425302543032,131.4724810033874,113.94652782755826,119.33338137869964,117.9321847368745,111.73362479346702,115.7026020589918,124.581414286905,140.70318990563763,110.33051343451352,115.95114645976412,123.51745760191884,119.71157518416427,103.49681484849584,115.10704508626792,115.81445859957915,107.6827710628885,116.30629366498287,112.13350949939344
Tree10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.16340143068489,110.82753507904212,119.48848886883049,107.99365781584558,110.01892438039496,122.7310058801445,128.61698061887438,119.56350846101456,120.5576736377836,119.74545695786686,121.09840829845731,116.73563284770825,124.31138940738924,114.7711652599758,123.43518438108904,114.32821229826548,112.2664285178681,113.76820904493408,126.30335795274722,132.4712993300811,107.91989476561474,105.0692223247226,121.38232300111925,113.1533097791114,101.52685963937948,116.60353214050994,102.9053666847158,112.29885526751292,115.734390591893,108.63091178106346
